Country Name,Country Code,Indicator Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Sri Lanka,LKA,GDP growth (annual %),5.950088145,3.538912053,8.015967371,8.404733021,9.144572246,3.39573265,4.960700592,5.007683305,4.486634531,3.419819189,3.209131128
Lower middle income,LMC,GDP growth (annual %),4.622583404,4.947359231,6.837096979,4.992690213,5.17561654,5.637323299,5.657618588,5.58914361,5.564788227,5.560170533,5.487536129
Low & middle income,LMY,GDP growth (annual %),5.595703957,2.298026162,7.36049603,5.933652537,5.098483539,5.128038337,4.419157892,3.71908801,3.936822505,4.603497321,4.334330166
Lesotho,LSO,GDP growth (annual %),6.739533599,2.154308341,6.42963961,6.630032868,5.899918124,2.155721303,2.817289494,2.71747593,3.218553361,-2.277240349,1.134188171
Late-demographic dividend,LTE,GDP growth (annual %),6.512915759,2.642390268,7.624152677,6.699825693,5.37784589,5.201307792,4.58948643,3.872168606,3.773265641,4.699006312,4.820545015
Lithuania,LTU,GDP growth (annual %),2.628077961,-14.81416316,1.482232441,6.025638091,3.833302764,3.558424631,3.507971217,2.033148074,2.555939567,4.247576754,3.644756532
Luxembourg,LUX,GDP growth (annual %),-1.279585581,-4.358606952,4.864968492,2.539234883,-0.352519229,3.654370259,4.29678635,4.306432538,4.574600283,1.801181703,3.110836266
Latvia,LVA,GDP growth (annual %),-3.346367079,-14.23814673,-4.473441198,6.285118615,4.13423165,2.328004263,1.915190378,3.260524381,1.773809577,3.787313758,4.62077695
"Macao SAR, China",MAC,GDP growth (annual %),3.393868181,1.32131501,25.26350562,21.67270765,9.237314193,11.20009044,-1.201089674,-21.59453159,-0.718343471,9.887584069,5.442542619
St. Martin (French part),MAF,GDP growth (annual %),,,,,,,,,,,
Morocco,MAR,GDP growth (annual %),5.923277686,4.243757321,3.815717917,5.245697297,3.009961262,4.5354242,2.669493927,4.536378168,1.05985639,4.234850054,2.99021417
Monaco,MCO,GDP growth (annual %),0.666833993,-11.3,2.1,7,1,9.6,7.2,4.9,3.5,-3.4,6.1
Moldova,MDA,GDP growth (annual %),7.800000145,-6.000000289,7.100000084,5.818166405,-0.589734135,9.043865528,4.999625584,-0.338235296,4.408886743,4.690793428,3.4
Madagascar,MDG,GDP growth (annual %),6.712632542,-3.978708613,0.619239746,1.578427051,3.011148115,2.300376232,3.339203113,3.132298073,3.993146064,3.933307595,4.564792315
Maldives,MDV,GDP growth (annual %),9.485332661,-7.228841465,7.265129068,8.566733531,2.517383942,7.281073979,7.329626203,2.88454853,6.338300636,6.803666022,6.888817196
Middle East & North Africa,MEA,GDP growth (annual %),4.499418806,0.49654191,5.052412772,3.678615983,3.893885992,2.691438089,2.897347558,2.486937469,4.919007702,1.481786538,2.337762668
Mexico,MEX,GDP growth (annual %),1.143584587,-5.285744137,5.118118143,3.66300793,3.642322679,1.354091962,2.804340128,3.287991599,2.910546459,2.118082347,2.135958121
Marshall Islands,MHL,GDP growth (annual %),-6.753094595,1.443806379,7.555390306,-0.75614346,-2.370339048,3.717627874,-0.939965317,1.591288446,1.306665887,4.056644584,3.62475276
Middle income,MIC,GDP growth (annual %),5.589809772,2.257006457,7.366100914,5.968882886,5.121144441,5.114979888,4.400182555,3.730401118,3.943785422,4.599749086,4.32571925
North Macedonia,MKD,GDP growth (annual %),5.47200139,-0.358614857,3.358750858,2.339886045,-0.455922696,2.924726568,3.629641308,3.855610302,2.848441461,0.240521014,2.664591889
Mali,MLI,GDP growth (annual %),4.773382727,4.6790657,5.413452222,3.240252913,-0.836178866,2.303584809,7.043356204,5.962581591,5.799999995,5.400000103,4.899995745
Malta,MLT,GDP growth (annual %),3.346512731,-2.462277722,3.542683214,1.307152749,2.79120546,4.610879115,8.706315221,10.81818001,5.675698854,6.724325981,6.772328111
Myanmar,MMR,GDP growth (annual %),10.25530539,10.5500091,9.634439452,5.591482378,7.332670447,8.426001025,7.990915597,6.99284029,5.862472915,6.758628824,6.200051072
Middle East & North Africa (excluding high income),MNA,GDP growth (annual %),3.528664577,2.552156128,5.266783609,-0.927726703,2.807976089,1.66709346,2.094613977,0.977211102,7.701688924,2.888166896,
Montenegro,MNE,GDP growth (annual %),7.222789984,-5.795092859,2.734341541,3.228450387,-2.723768654,3.549013918,1.783682046,3.390420876,2.949338685,4.716464962,5.077860201
